episode,steps,reward,reward100,reward50,reward10,mean_s_q,mean_t_q,mean_td_error,mean_h_error,action_count0,action_count1,action_count2,mean_wg,median_wg,max_wg,min_wg
500,90318,-0.0292492764393,-69.5,-65.9,-65.6,-3.88081,-3.52124,0.00727143,0.0124849,50,36,95,1.795e-05,9.03578e-07,0.000224073,1.0247e-09
600,108418,-0.145533333333,-64.9,-65.3,-64.3,-8.63107,-8.33538,0.00226248,0.0194089,33,46,102,2.37818e-05,1.59208e-06,0.000665239,1.2079e-09
700,126518,-0.0786,-63.1,-62.6,-61.2,-11.287,-11.0374,0.00242179,0.0213084,49,36,96,2.3653e-05,1.76643e-06,0.000603213,1.84725e-09
800,144618,-0.0021,-62.0,-61.4,-61.1,-12.8079,-12.5694,-0.00915777,0.0270886,36,51,94,2.57581e-05,2.07653e-06,0.000555033,2.1592e-09
900,162718,-0.133485766967,-60.9,-60.7,-61.4,-13.4113,-13.2051,0.00500706,0.0126144,29,46,106,1.25405e-05,1.14612e-06,0.000393916,1.62572e-09
1000,180818,-0.0629,-59.9,-59.9,-58.9,-14.2319,-14.0423,0.00336479,0.00752742,41,49,91,8.62973e-06,9.95926e-07,0.000292279,1.13468e-09
1100,198918,-0.0406333333333,-59.5,-59.0,-60.7,-14.8469,-14.661,-0.00267864,0.00784441,38,43,100,1.12494e-05,9.15768e-07,0.000304169,1.48702e-09
1200,217018,-0.00531505010525,-58.3,-57.3,-57.8,-15.3779,-15.2013,-0.000537425,0.00808623,41,55,85,1.08389e-05,7.71927e-07,0.000613356,8.1865e-10
1300,235118,-0.202738713046,-56.2,-55.7,-60.3,-15.0007,-14.8201,-0.00246212,0.0117258,37,62,82,7.9965e-06,8.04672e-07,0.00028652,1.58718e-09
1400,253218,-0.241940729539,-55.4,-55.3,-57.0,-14.6282,-14.4579,0.00353576,0.0124087,56,63,62,1.01093e-05,8.75917e-07,0.000327283,1.43318e-09
1500,271318,-0.0021,-53.6,-52.7,-53.4,-14.2358,-14.0663,0.00115038,0.0062932,79,54,48,9.4115e-06,5.80159e-07,0.000311357,1.30646e-09
1600,289418,-0.0021,-52.5,-52.8,-52.4,-14.4523,-14.2943,0.000751187,0.0044937,73,53,55,5.83888e-06,4.5935e-07,0.000278185,1.0157e-09
1700,307518,-0.0021,-51.9,-52.0,-53.4,-14.2218,-14.0679,0.00125258,0.00483979,52,55,74,6.85585e-06,4.53326e-07,0.000226566,8.64095e-10
1800,325618,-0.0021,-51.7,-51.5,-53.4,-13.7433,-13.5981,0.000811993,0.00655334,67,55,59,9.55512e-06,6.47028e-07,0.000329371,1.14289e-09
1900,343718,-0.0021,-51.0,-51.0,-51.3,-13.749,-13.59,-0.000286488,0.00176222,66,51,64,2.46231e-06,1.93096e-07,0.000104738,3.87369e-10
2000,361818,-0.0021,-50.6,-50.5,-50.5,-14.2565,-14.1131,0.000797995,0.00342903,40,60,81,5.86369e-06,4.13219e-07,0.000200344,5.44987e-10
2100,379918,-0.0092,-50.1,-49.7,-50.1,-13.9434,-13.8023,0.00339992,0.0062464,20,63,98,8.84309e-06,5.78269e-07,0.000326196,8.78829e-10
2200,398018,-0.0021,-50.2,-49.4,-48.2,-13.5179,-13.3713,0.000202603,0.00214741,30,60,91,3.26657e-06,2.35243e-07,0.000131757,4.98058e-10
2300,416118,-0.0021,-51.5,-52.0,-51.6,-13.5236,-13.382,0.00173097,0.00507309,60,56,65,7.03369e-06,4.1937e-07,0.000236928,6.38623e-10
2400,434218,-0.198355225007,-50.3,-49.3,-49.3,-13.6294,-13.475,-0.00429093,0.0037249,11,58,112,4.59945e-06,3.13906e-07,0.000180642,7.28493e-10
2500,452318,-0.0021,-49.9,-49.9,-49.0,-13.6084,-13.4713,0.00444996,0.00526916,41,59,81,5.42856e-06,3.90585e-07,0.000251158,7.7246e-10
2600,470418,-0.0021,-49.8,-49.3,-49.2,-13.5394,-13.3912,0.00137042,0.00500468,39,55,87,5.20541e-06,3.38393e-07,0.000212956,5.56747e-10
