episode,steps,reward,reward100,reward50,reward10,mean_s_q,mean_t_q,mean_td_error,mean_h_error,action_count0,mean_wg,median_wg,max_wg,min_wg
8,1266,-0.0005,-8.6,-8.6,-8.6,-0.0463874,0.0199389,0.00529225,0.00341013,181,0.00250676,3.03949e-07,0.134981,0.0
12,1990,-0.0063,-8.5,-8.5,-8.9,-0.0573335,0.013531,0.00650921,0.00323843,181,7.45567e-05,3.74506e-07,0.00244436,0.0
16,2714,-0.0027,-8.2,-8.2,-8.1,-0.0867064,-0.0336139,0.00168954,0.00159316,181,3.06103e-05,2.87775e-07,0.000848839,0.0
20,3438,-0.125,-8.7,-8.7,-8.4,-0.131828,-0.0758839,0.00215971,0.00247869,181,2.58755e-05,4.44507e-07,0.000603767,0.0
24,4162,-0.0338,-9.5,-9.5,-10.1,-0.231379,-0.149454,0.00718165,0.00836769,181,4.08902e-05,1.10085e-06,0.000804214,0.0
28,4886,-0.0018,-11.2,-11.2,-15.8,-0.2586,-0.140572,0.00238082,0.00447172,181,3.61438e-05,1.19267e-06,0.000837261,0.0
32,5610,-0.0017,-10.2,-10.2,-11.1,-0.230946,-0.193043,-0.000919592,0.00219626,181,1.57502e-05,6.452e-07,0.000299597,0.0
36,6334,-0.0003,-11.5,-11.5,-11.7,-0.430829,-0.32038,0.00144334,0.00797049,181,2.06508e-05,1.25888e-06,0.000380958,0.0
40,7058,-0.0693666666667,-11.8,-11.8,-14.9,-0.460462,-0.342614,0.00494336,0.00858093,181,2.04858e-05,1.0193e-06,0.000373639,0.0
44,7782,-0.0432,-11.0,-11.0,-11.3,-0.398193,-0.326477,0.000421442,0.00175202,181,9.8758e-06,5.45007e-07,0.000144235,0.0
48,8506,-0.0006,-11.0,-11.0,-11.1,-0.453753,-0.385958,-0.00156916,0.00390212,181,1.16463e-05,6.51807e-07,0.0001677,0.0
52,9230,-0.0015,-10.8,-11.0,-8.4,-0.616081,-0.544173,0.00199799,0.0099218,181,1.60934e-05,1.29673e-06,0.000249077,0.0
56,9954,-0.0674,-10.6,-10.8,-8.8,-0.471233,-0.411667,-0.00232121,0.00436407,181,8.64341e-06,5.41928e-07,0.000181549,0.0
60,10678,-0.0003,-10.1,-10.4,-6.9,-0.390389,-0.351623,8.40038e-05,0.00213972,181,4.96682e-06,3.20643e-07,7.8523e-05,0.0
64,11402,-0.0,-10.0,-10.3,-7.0,-0.528253,-0.483223,-0.000597588,0.00282697,181,1.11626e-05,6.8013e-07,0.000121331,0.0
68,12126,-0.0004,-10.2,-10.8,-9.4,-0.578038,-0.51355,0.000144947,0.00459577,181,8.7918e-06,5.96408e-07,0.000110063,0.0
72,12850,-0.006,-10.4,-10.6,-11.5,-0.687039,-0.610055,-0.000209809,0.00519298,181,9.57124e-06,8.04538e-07,0.000141862,0.0
76,13574,-0.0008,-10.2,-9.5,-10.5,-0.6474,-0.59723,-0.00300886,0.00570277,181,5.80456e-06,4.27454e-07,6.05965e-05,0.0
80,14298,-0.0017,-9.9,-9.4,-6.5,-0.56293,-0.530573,-9.33795e-05,0.00515815,181,6.16367e-06,4.14304e-07,9.1899e-05,0.0
84,15022,-0.304133333333,-9.9,-9.2,-6.1,-0.616191,-0.579914,0.00752933,0.00739583,181,9.54076e-06,6.40416e-07,0.000107003,0.0
88,15746,-0.0386333333333,-10.0,-9.2,-9.3,-0.644591,-0.554623,-0.00274527,0.00664584,181,8.56608e-06,5.4332e-07,0.000122262,0.0
92,16470,-0.0588333333333,-10.0,-8.7,-11.5,-0.652037,-0.59007,0.00134456,0.00504752,181,7.26977e-06,5.34862e-07,9.67538e-05,0.0
96,17194,-0.2433,-9.8,-8.8,-10.0,-0.727798,-0.680137,0.000675888,0.00642425,181,6.22784e-06,5.62172e-07,7.90965e-05,0.0
100,17918,-0.0184333333333,-9.9,-9.1,-9.2,-0.739137,-0.672816,-0.0016687,0.00411017,181,5.59561e-06,4.49867e-07,0.000101125,0.0
104,18642,-0.0,-9.9,-9.2,-10.9,-0.745946,-0.695212,-0.0015025,0.00513488,181,6.71274e-06,4.30376e-07,9.56678e-05,0.0
108,19366,-0.0566666666667,-9.9,-9.2,-8.2,-0.730005,-0.690421,-0.000600463,0.0060543,181,7.81525e-06,5.90406e-07,0.000116735,0.0
112,20090,-0.0416,-10.9,-11.2,-16.7,-1.14933,-0.98455,0.00211273,0.017133,181,1.61881e-05,1.20696e-06,0.000333156,0.0
116,20814,-0.258633333333,-11.0,-11.4,-19.8,-1.03642,-0.931246,-0.00254381,0.00639815,181,9.22912e-06,9.02816e-07,0.000117632,0.0
